X,Y,Z
1.013129280352242567e+01,-9.734046885402623417e+00,1.241701143082432424e+02
1.009736410401839279e+01,-9.700778223468496719e+00,1.239242834413891785e+02
1.013052671881541933e+01,-9.733913511772364302e+00,1.238024302114100834e+02
1.016420430219604043e+01,-9.767560070641271963e+00,1.236806036663419235e+02
1.018593013086333521e+01,-9.789340077974847176e+00,1.235585230003852217e+02
1.023539703517606192e+01,-9.838663305965875239e+00,1.234370854566632829e+02
1.034513814540431120e+01,-9.947830792621591200e+00,1.233170800510184790e+02
1.043503792919220352e+01,-1.003729835941643955e+01,1.231966766740955848e+02
1.049639148483526441e+01,-1.009842324039495942e+01,1.230756438476570054e+02
1.056555669062080938e+01,-1.016730397934314922e+01,1.229548377788927667e+02
1.067643172625648162e+01,-1.027759687938672784e+01,1.228351075634780756e+02
1.078679798547915603e+01,-1.038738450936945590e+01,1.227154372663434003e+02
1.085157058780971617e+01,-1.045190372542215762e+01,1.225946749543065550e+02
1.090947682679058950e+01,-1.050960551666621079e+01,1.224737732462581619e+02
1.102196058897848019e+01,-1.062149522812496727e+01,1.223543390401971180e+02
1.111427319784438872e+01,-1.071335764429003845e+01,1.222344411536350606e+02
1.121364786743679431e+01,-1.081223160646324466e+01,1.221147929569115149e+02
1.132495094642234434e+01,-1.092294870714643196e+01,1.219955356234899568e+02
1.144387195431410831e+01,-1.104122922006115992e+01,1.218765627838351975e+02
1.154696441357061154e+01,-1.114379407643609632e+01,1.217572231835963237e+02
1.160945304731610328e+01,-1.120604495695757130e+01,1.216367928373970955e+02
1.167181344619464234e+01,-1.126816845580405513e+01,1.215163955114358174e+02
1.178663989695238712e+01,-1.138238320258665404e+01,1.213975693689629622e+02
1.185481708165273673e+01,-1.145028177886898568e+01,1.212774369551000007e+02
1.188830809712490222e+01,-1.148374190769023606e+01,1.211563052428158755e+02
1.190829228511014826e+01,-1.150379168162522348e+01,1.210347788298454219e+02
1.194125881733113381e+01,-1.153673103093402830e+01,1.209136566360278238e+02
1.198463775462207614e+01,-1.158000835602542189e+01,1.207928730763652396e+02
1.204506010736526811e+01,-1.164020726030536323e+01,1.206726482679227956e+02
1.208523119780001132e+01,-1.168029957720154854e+01,1.205518139947151184e+02
1.211280783574725639e+01,-1.170788742706011121e+01,1.204305943948395594e+02
1.212463649188791237e+01,-1.171983984635203058e+01,1.203088728795492841e+02
1.214273781274104991e+01,-1.173802008927701124e+01,1.201873572518702957e+02
1.216160900842988823e+01,-1.175696469616223538e+01,1.200658711788245654e+02
1.219767690003624772e+01,-1.179298303346958576e+01,1.199449685147442608e+02
1.223897500618557643e+01,-1.183419415635215266e+01,1.198242609675848627e+02
1.226845139636905913e+01,-1.186366806867459189e+01,1.197031676790359569e+02
1.229068716134848316e+01,-1.188595311964501633e+01,1.195818348777460614e+02
1.230389997977681915e+01,-1.189927974977264036e+01,1.194601919486977550e+02
1.231502267381724636e+01,-1.191053120617068828e+01,1.193384750859706571e+02
1.235260817918067389e+01,-1.194805616510549839e+01,1.192177061966021370e+02
1.238212110530098720e+01,-1.197756626888374321e+01,1.190966629333459821e+02
1.241248691925084380e+01,-1.200792313713846937e+01,1.189756631139377845e+02
1.244895740456549049e+01,-1.204434097145128391e+01,1.188549018579755625e+02
1.249660693615074081e+01,-1.209185782116983177e+01,1.187345754002715239e+02
1.253248132597853193e+01,-1.212768376012261662e+01,1.186138304226760170e+02
1.253535040170887171e+01,-1.213074059563186857e+01,1.184918454653143556e+02
1.252872071562421930e+01,-1.212436667637143195e+01,1.183694879280678975e+02
1.258283016244683594e+01,-1.217829709106918834e+01,1.182494734971973003e+02
1.265443990865856883e+01,-1.224960246005656472e+01,1.181301750936241035e+02
1.274407977759063826e+01,-1.233880877991963132e+01,1.180116330994756737e+02
1.280236182795847988e+01,-1.239688173073840360e+01,1.178918956857190068e+02
1.280874729124630917e+01,-1.240342968949125080e+01,1.177701005260658462e+02
1.280894254283662015e+01,-1.240383177926353220e+01,1.176480488063982790e+02
1.281680959605618320e+01,-1.241185073636940750e+01,1.175263024012839566e+02
1.283257096902038796e+01,-1.242770747057716463e+01,1.174048789560291794e+02
1.287300208754091635e+01,-1.246805721543657164e+01,1.172844877213460393e+02
1.292362654568396074e+01,-1.251852723511657928e+01,1.171645460628250390e+02
1.292688043706783674e+01,-1.252196605838863164e+01,1.170426188579439639e+02
1.291737675698354337e+01,-1.251273874047351242e+01,1.169201375800279976e+02
1.296217011158053189e+01,-1.255741937096951943e+01,1.167999870312224004e+02
1.299328649994725637e+01,-1.258852101879263685e+01,1.166792634595872187e+02
1.298538598203487382e+01,-1.258088539781710580e+01,1.165568376090400164e+02
1.295928916782824381e+01,-1.255518394315966368e+01,1.164335896077625989e+02
1.297446242293077212e+01,-1.257045674550453995e+01,1.163121575557362348e+02
1.300292163790212463e+01,-1.259892025102204194e+01,1.161913257309101937e+02
1.300221851524020167e+01,-1.259843049858655206e+01,1.160691801155790159e+02
1.299020917862387670e+01,-1.258671562413393019e+01,1.159465064348171950e+02
1.298918198990703843e+01,-1.258590417163225794e+01,1.158243212532539985e+02
1.297647368965228587e+01,-1.257349540289769685e+01,1.157015820104471828e+02
1.299996105854370043e+01,-1.259702271631743287e+01,1.155805213455878402e+02
1.300110794985766560e+01,-1.259836979420834346e+01,1.154584121561952799e+02
1.301105360579538051e+01,-1.260845253029284052e+01,1.153367131906433656e+02
1.300070458722558442e+01,-1.259838620120627972e+01,1.152140375296030186e+02
1.300616805881735516e+01,-1.260401893456634781e+01,1.150921093490970861e+02
1.297483944041712434e+01,-1.257312360046279665e+01,1.149683822341056469e+02
1.296194383026936237e+01,-1.256052904745366483e+01,1.148455274626668796e+02
1.290356997371617531e+01,-1.250278268044778329e+01,1.147204036620669143e+02
1.286580342528632848e+01,-1.246549579879660463e+01,1.145962542302477232e+02
1.277293216038079038e+01,-1.237349982233847534e+01,1.144693011609617628e+02
1.242514395266604410e+01,-1.202841705845819575e+01,1.143293833635495389e+02
1.230041400800394413e+01,-1.190479155502483977e+01,1.142005603075597975e+02
1.194522365609441117e+01,-1.155236054879547680e+01,1.140598212960230740e+02
1.173757660503447653e+01,-1.134641383031785544e+01,1.139264325682629959e+02
1.179108138044604459e+01,-1.139974379238967828e+01,1.138064591326929360e+02
1.178178382715344341e+01,-1.139197925167395553e+01,1.129465244692093364e+02
1.202870198933728041e+01,-1.163754189214419199e+01,1.127145328764986942e+02
1.208182504151217529e+01,-1.169007378768004912e+01,1.128401896253502059e+02
1.208443614129192945e+01,-1.169308485781031948e+01,1.125948881328450994e+02
1.206276919099779654e+01,-1.167178304852284221e+01,1.124709361888680945e+02
9.749740286909593934e+00,-9.401454325206730189e+00,9.705808905533181985e+01
9.724666773314959656e+00,-9.376776162261673875e+00,9.693059198112176489e+01
9.696943440737316067e+00,-9.349467488485368349e+00,9.680279367599094087e+01
9.759664003850765823e+00,-9.411945442211530732e+00,9.668424558403008007e+01
9.822659008461679164e+00,-9.474695782723252080e+00,9.656576091067448431e+01
9.859497397377591454e+00,-9.511479580170664860e+00,9.644460754647411704e+01
9.860223805713399514e+00,-9.512413891660164822e+00,9.631972334336228414e+01
9.858387881748726045e+00,-9.510804518691886145e+00,9.619456123634438427e+01
9.908369613978901924e+00,-9.560636061800192209e+00,9.607480087095018462e+01
9.944440605259117660e+00,-9.596657973104816719e+00,9.595360729148225687e+01
1.001936075305100360e+01,-9.671246496166022055e+00,9.583651752102639421e+01
1.011136724241271523e+01,-9.762797019238728780e+00,9.572127653993179308e+01
1.012656798091438937e+01,-9.778100338830583382e+00,9.559795191194349684e+01
1.012052624631034980e+01,-9.772315706003723790e+00,9.547236751986393699e+01
1.017613920616913425e+01,-9.827737273185976008e+00,9.535334759862780629e+01
1.022242420751811665e+01,-9.873898695554695237e+00,9.523335832989940286e+01
1.026813008928776938e+01,-9.919485173161366021e+00,9.511332959896900263e+01
1.029587245294044173e+01,-9.947238808841735391e+00,9.499138577005851403e+01
1.036551206037482764e+01,-1.001658477465799812e+01,9.487398529135793979e+01
1.043006604695425921e+01,-1.008088206383913565e+01,9.475607269828836365e+01
1.050272596962277838e+01,-1.015322622746499270e+01,9.463907982166560373e+01
